Height,Tunnel,Motor,AoA,LC1,LC2,LC3,Manometer
-1,300,2300,0,0.049,0.022,-0.091,0.295
,,,2,0.135,0.039,-0.009,
,,,4,0.222,0.049,0.076,
,,,6,0.319,0.038,0.182,
,,,8,0.424,0.026,0.299,
,,,10,0.531,0.004,0.423,
,,,12,0.625,-0.018,0.533,
,,,14,0.709,-0.049,0.632,
,,,16,0.763,-0.093,0.709,
,,,18,0.784,-0.151,0.792,
,,,20,0.831,-0.205,0.862,
,,,22,0.847,-0.263,0.931,
,,,24,0.823,-0.346,0.962,
,,,26,0.792,-0.406,0.981,
,,,28,0.796,-0.454,1.01,
,,,30,0.786,-0.506,1.01,
