Height,Tunnel,Motor,AoA,LC1,LC2,LC3
1,0,2300,0,0.045,0.186,-0.075
,,,2,0.061,0.186,-0.064
,,,4,0.072,0.186,-0.052
,,,6,0.083,0.182,-0.04
,,,8,0.102,0.166,-0.026
,,,10,0.109,0.164,-0.017
,,,12,0.119,0.158,-0.003
,,,14,0.13,0.152,0.005
,,,16,0.138,0.145,0.014
,,,18,0.146,0.136,0.022
,,,20,0.158,0.128,0.035
,,,22,0.167,0.114,0.042
,,,24,0.173,0.105,0.05
,,,26,0.179,0.092,0.055
,,,28,0.184,0.078,0.06
,,,30,0.189,0.067,0.072
