Height,Tunnel,Motor,AoA,LC1,LC2,LC3
0,0,2300,0,0.09,0.16,-0.113
,,,2,0.102,0.163,-0.102
,,,4,0.113,0.163,-0.09
,,,6,0.124,0.162,-0.08
,,,8,0.136,0.16,-0.069
,,,10,0.147,0.158,-0.056
,,,12,0.159,0.155,-0.045
,,,14,0.168,0.15,-0.033
,,,16,0.179,0.143,-0.019
,,,18,0.192,0.139,-0.005
,,,20,0.204,0.13,0.006
,,,22,0.212,0.118,0.019
,,,24,0.223,0.109,0.029
,,,26,0.231,0.097,0.039
,,,28,0.234,0.08,0.046
,,,30,0.232,0.075,0.052
