LabVIEW Measurement	
Writer_Version	0.92
Reader_Version	1
Separator	Tab
Multi_Headings	Yes
X_Columns	Multi
Time_Pref	Relative
Operator	don geister
Date	1903/12/31
Time	19:00:00
***End_of_Header***	
	
Channels	1	
Samples	16	
Date	2018/01/28	
Time	17:41:08.625	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	1.000000	
***End_of_Header***		
X_Value		Comment
0.000000	-0.222211
1.000000	-0.883027
2.000000	-0.777415
3.000000	-0.773044
4.000000	-0.723007
5.000000	-0.764920
6.000000	-0.622595
7.000000	-0.584316
8.000000	-0.581610
9.000000	-0.566695
10.000000	-0.536546
11.000000	-0.460964
12.000000	-0.443743
13.000000	-0.399267
14.000000	-0.565270
15.000000	-0.435323

