LabVIEW Measurement	
Writer_Version	0.92
Reader_Version	1
Separator	Tab
Multi_Headings	Yes
X_Columns	Multi
Time_Pref	Relative
Operator	don geister
Date	1903/12/31
Time	19:00:00
***End_of_Header***	
	
Channels	1	
Samples	16	
Date	2018/01/28	
Time	17:37:08.578	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	1.000000	
***End_of_Header***		
X_Value		Comment
0.000000	-0.230292
1.000000	-0.874407
2.000000	-0.704393
3.000000	-0.675811
4.000000	-0.602786
5.000000	-0.712935
6.000000	-0.449069
7.000000	-0.402316
8.000000	-0.369887
9.000000	-0.402675
10.000000	-0.374585
11.000000	-0.404854
12.000000	-0.428060
13.000000	-0.539408
14.000000	-0.393231
15.000000	-0.490394

