LabVIEW Measurement	
Writer_Version	0.92
Reader_Version	1
Separator	Tab
Multi_Headings	Yes
X_Columns	Multi
Time_Pref	Relative
Operator	don geister
Date	1903/12/31
Time	19:00:00
***End_of_Header***	
	
Channels	1	
Samples	16	
Date	2018/01/28	
Time	17:41:48.717999	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	1.000000	
***End_of_Header***		
X_Value		Comment
0.000000	-0.221403
1.000000	-0.904097
2.000000	-0.790773
3.000000	-0.799563
4.000000	-0.731414
5.000000	-0.764095
6.000000	-0.635943
7.000000	-0.592299
8.000000	-0.606716
9.000000	-0.588391
10.000000	-0.561463
11.000000	-0.454058
12.000000	-0.441898
13.000000	-0.374589
14.000000	-0.585458
15.000000	-0.422211

