LabVIEW Measurement	
Writer_Version	0.92
Reader_Version	1
Separator	Tab
Multi_Headings	Yes
X_Columns	Multi
Time_Pref	Relative
Operator	don geister
Date	1903/12/31
Time	19:00:00
***End_of_Header***	
	
Channels	1	
Samples	16	
Date	2018/01/28	
Time	17:40:22.217999	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	1.000000	
***End_of_Header***		
X_Value		Comment
0.000000	-0.224635
1.000000	-0.900266
2.000000	-0.783649
3.000000	-0.766616
4.000000	-0.722167
5.000000	-0.761619
6.000000	-0.614968
7.000000	-0.558773
8.000000	-0.566547
9.000000	-0.548471
10.000000	-0.515782
11.000000	-0.465280
12.000000	-0.446511
13.000000	-0.423946
14.000000	-0.525771
15.000000	-0.449309

