LabVIEW Measurement	
Writer_Version	0.92
Reader_Version	1
Separator	Tab
Multi_Headings	Yes
X_Columns	Multi
Time_Pref	Relative
Operator	don geister
Date	1903/12/31
Time	19:00:00
***End_of_Header***	
	
Channels	1	
Samples	16	
Date	2018/01/28	
Time	17:39:26	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	1.000000	
***End_of_Header***		
X_Value		Comment
0.000000	-0.227059
1.000000	-1.058292
2.000000	-0.885167
3.000000	-0.871885
4.000000	-0.813804
5.000000	-0.807828
6.000000	-0.579690
7.000000	-0.536422
8.000000	-0.507130
9.000000	-0.530246
10.000000	-0.509968
11.000000	-0.467007
12.000000	-0.456659
13.000000	-0.426590
14.000000	-0.513483
15.000000	-0.463295

