LabVIEW Measurement	
Writer_Version	0.92
Reader_Version	1
Separator	Tab
Multi_Headings	Yes
X_Columns	Multi
Time_Pref	Relative
Operator	don geister
Date	1903/12/31
Time	19:00:00
***End_of_Header***	
	
Channels	1	
Samples	16	
Date	2018/01/28	
Time	17:40:42.858999	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	1.000000	
***End_of_Header***		
X_Value		Comment
0.000000	-0.223827
1.000000	-0.923252
2.000000	-0.789882
3.000000	-0.772241
4.000000	-0.741503
5.000000	-0.778948
6.000000	-0.612107
7.000000	-0.561167
8.000000	-0.573242
9.000000	-0.560621
10.000000	-0.529901
11.000000	-0.463554
12.000000	-0.443743
13.000000	-0.409844
14.000000	-0.565270
15.000000	-0.442316

