LabVIEW Measurement	
Writer_Version	0.92
Reader_Version	1
Separator	Tab
Multi_Headings	Yes
X_Columns	Multi
Time_Pref	Relative
Operator	don geister
Date	1903/12/31
Time	19:00:00
***End_of_Header***	
	
Channels	1	
Samples	16	
Date	2018/01/28	
Time	17:41:27.092999	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	1.000000	
***End_of_Header***		
X_Value		Comment
0.000000	-0.222211
1.000000	-0.917505
2.000000	-0.797897
3.000000	-0.795545
4.000000	-0.741503
5.000000	-0.764095
6.000000	-0.636897
7.000000	-0.597088
8.000000	-0.602531
9.000000	-0.583184
10.000000	-0.556479
11.000000	-0.460101
12.000000	-0.444666
13.000000	-0.379877
14.000000	-0.581947
15.000000	-0.428330

