LabVIEW Measurement	
Writer_Version	0.92
Reader_Version	1
Separator	Tab
Multi_Headings	Yes
X_Columns	Multi
Time_Pref	Relative
Operator	don geister
Date	1903/12/31
Time	19:00:00
***End_of_Header***	
	
Channels	1	
Samples	16	
Date	2018/01/28	
Time	17:36:24.717999	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	1.000000	
***End_of_Header***		
X_Value		Comment
0.000000	-0.230292
1.000000	-0.807366
2.000000	-0.642058
3.000000	-0.662954
4.000000	-0.595220
5.000000	-0.740990
6.000000	-0.465278
7.000000	-0.423071
8.000000	-0.394156
9.000000	-0.432181
10.000000	-0.405316
11.000000	-0.430751
12.000000	-0.449279
13.000000	-0.593172
14.000000	-0.423075
15.000000	-0.494764

