LabVIEW Measurement	
Writer_Version	0.92
Reader_Version	1
Separator	Tab
Multi_Headings	Yes
X_Columns	Multi
Time_Pref	Relative
Operator	don geister
Date	1903/12/31
Time	19:00:00
***End_of_Header***	
	
Channels	1	
Samples	16	
Date	2018/01/28	
Time	17:38:16.889999	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	1.000000	
***End_of_Header***		
X_Value		Comment
0.000000	-0.229484
1.000000	-0.987420
2.000000	-0.809474
3.000000	-0.760187
4.000000	-0.655751
5.000000	-0.683229
6.000000	-0.466231
7.000000	-0.424667
8.000000	-0.394156
9.000000	-0.433917
10.000000	-0.409469
11.000000	-0.448879
12.000000	-0.445589
13.000000	-0.501508
14.000000	-0.432730
15.000000	-0.483401

