AoA:,LC1:,LC2:,LC3:,Calib
0,-0.192,0.076,-0.078,16
2,-0.136,0.091,-0.027
4,-0.031,0.091,0.062
6,0.076,0.104,0.165
8,0.194,0.094,0.287
10,0.313,0.085,0.411
12,0.432,0.073,0.536
14,0.541,0.064,0.649
16,0.634,0.033,0.744
18,0.682,-0.008,0.814
20,0.715,-0.073,0.897
22,0.742,-0.127,0.962
24,0.773,-0.175,1.004
26,0.775,-0.231,1.032
28,0.711,-0.271,1.038
30,0.706,-0.322,1.065
32,0.691,-0.358,1.075
34,0.654,-0.412,1.092
36,0.657,-0.474,1.107
38,0.644,-0.537,1.138
40,0.625,-0.602,1.145
