AoA:,LC1:,LC2:,LC3:,Calib
0,-0.149,-0.199,-0.071,21
2,-0.145,-0.153,-0.067
4,-0.065,-0.131,0.005
6,0.026,-0.125,0.097
8,0.126,-0.101,0.202
10,0.224,-0.088,0.307
12,0.32,-0.107,0.405
14,0.407,-0.106,0.5
16,0.479,-0.124,0.577
18,0.48,-0.216,0.647
20,0.45,-0.252,0.71
22,0.464,-0.275,0.729
24,0.456,-0.325,0.77
26,0.471,-0.35,0.77
28,0.427,-0.386,0.743
30,0.423,-0.447,0.752
32,0.374,-0.493,0.763
34,0.381,-0.535,0.795
36,0.386,-0.592,0.835
38,0.382,-0.652,0.867
40,0.379,-0.717,0.917
