W1,W2,W3,LC1,LC2,LC3
0.75,0,0,-0.265,0.091,-0.155
1.75,0,0,-0.554,0.092,-0.239
2.75,0,0,-0.844,0.095,-0.324
3.75,0,0,-1.131,0.101,-0.408
0,0.75,0,-0.025,-0.081,-0.079
0,1.75,0,-0.027,-0.317,-0.088
0,2.75,0,-0.021,-0.577,-0.097
0,3.75,0,-0.019,-0.848,-0.107
0,0,0.75,-0.11,0.105,-0.308
0,0,1.75,-0.195,0.098,-0.596
0,0,2.75,-0.281,0.094,-0.878
0,0,3.75,-0.371,0.089,-1.172
