AoA:,LC1:,LC2:,LC3:,Calib
0,-0.143,0.053,0.006,1
2,-0.039,-0.036,0.111
4,0.067,-0.102,0.226
6,0.189,-0.172,0.354
8,0.309,-0.232,0.483
10,0.426,-0.164,0.594
12,0.522,-0.032,0.677
14,0.576,-0.11,0.744
16,0.599,-0.191,0.812
18,0.636,-0.278,0.894
20,0.667,-0.369,0.942
22,0.671,-0.467,0.992
24,0.603,-0.598,1.025
26,0.586,-0.723,1.026
28,0.563,-0.834,1.046
30,0.547,-0.954,1.104
32,0.517,-1.094,1.073
34,0.486,-1.243,1.086
36,0.463,-1.367,1.093
38,0.448,-1.509,1.112
40,0.419,-1.653,1.124
