W1,W2,W3,LC1,LC2,LC3
0.75,0,0,-0.292,0.152,-0.163
1.75,0,0,-0.586,0.152,-0.254
2.75,0,0,-0.873,0.154,-0.338
3.75,0,0,-1.162,0.157,-0.426
0,0.75,0,-0.052,-0.044,-0.091
0,1.75,0,-0.06,-0.243,-0.101
0,2.75,0,-0.059,-0.511,-0.112
0,3.75,0,-0.059,-0.768,-0.123
0,0,0.75,-0.123,0.11,-0.308
0,0,1.75,-0.209,0.107,-0.598
0,0,2.75,-0.298,0.107,-0.886
0,0,3.75,-0.388,0.101,-1.181
