AoA:,LC1:,LC2:,LC3:,Calib
0,0.081,-0.445,0.159,7
2,-0.021,-0.393,0.083
4,0.033,-0.368,0.148
6,0.112,-0.372,0.234
8,0.193,-0.411,0.325
10,0.293,-0.433,0.431
12,0.392,-0.435,0.538
14,0.501,-0.42,0.646
16,0.573,-0.399,0.724
18,0.626,-0.406,0.844
20,0.674,-0.428,0.919
22,0.701,-0.451,0.985
24,0.706,-0.485,1.013
26,0.626,-0.532,1.019
28,0.624,-0.572,1.026
30,0.591,-0.614,1.019
32,0.553,-0.655,1.016
34,0.556,-0.697,1.034
36,0.543,-0.748,1.063
38,0.542,-0.806,1.089
40,0.534,-0.865,1.108
