W1,W2,W3,LC1,LC2,LC3
0.75,0,0,-0.1257,-0.0998,-0.1429
1.75,0,0,-0.3941,-0.10733,-0.22504
2.75,0,0,-0.6875,-0.10524,-0.31681
3.75,0,0,-0.9782,-0.10378,-0.4038
0,0.75,0,0.1088,-0.3085,-0.0589
0,1.75,0,0.1015,-0.576,-0.0265
0,2.75,0,0.0847,-0.851,-0.0023
0,3.75,0,0.0782,-1.134,0.0137
0,0,0.75,0.0403,-0.1044,-0.3004
0,0,1.75,-0.0514,-0.1117,-0.5961
0,0,2.75,-0.142,-0.1193,-0.8917
0,0,3.75,-0.232,-0.1257,-1.19
