AoA:,LC1:,LC2:,LC3:,Calib
0,-0.137,0.0634,0.0427,4
2,-0.0601,-0.08,0.12
4,0.0533,-0.042,0.237
6,0.162,-0.088,0.351
8,0.278,-0.152,0.475
10,0.384,-0.201,0.583
12,0.482,-0.187,0.68
14,0.538,-0.068,0.725
16,0.559,-0.165,0.785
18,0.587,-0.262,0.884
20,0.601,-0.35,0.946
22,0.618,-0.438,0.987
24,0.604,-0.536,1.008
26,0.515,-0.651,0.998
28,0.473,-0.782,0.97
30,0.436,-0.887,0.985
32,0.433,-1.037,1.006
34,0.418,-1.165,1.037
36,0.398,-1.306,1.068
38,0.394,-1.444,1.105
40,0.383,-1.582,1.126
