AoA:,LC1:,LC2:,LC3:,Calib
0,-0.133,0.071,-0.047,1
2,-0.02,-0.027,0.061
4,0.096,-0.036,0.181
6,0.211,-0.125,0.312
8,0.331,-0.174,0.442
10,0.457,-0.186,0.571
12,0.556,-0.069,0.659
14,0.641,-0.077,0.743
16,0.682,-0.162,0.826
18,0.716,-0.25,0.905
20,0.769,-0.332,0.976
22,0.774,-0.431,1.015
24,0.699,-0.574,1.023
26,0.663,-0.695,1.075
28,0.686,-0.821,1.113
30,0.694,-0.935,1.144
32,0.669,-1.056,1.155
34,0.654,-1.175,1.172
36,0.634,-1.337,1.199
38,0.583,-1.502,1.202
40,0.586,-1.654,1.203
