AoA:,LC1:,LC2:,LC3:,Calib
0,-0.016,-0.585,-0.067,6
2,-0.144,-0.518,-0.161
4,-0.082,-0.516,-0.091
6,0.037,-0.449,0.041
8,0.212,-0.339,0.223
10,0.375,-0.262,0.396
12,0.489,-0.26,0.519
14,0.601,-0.279,0.639
16,0.691,-0.304,0.741
18,0.742,-0.346,0.827
20,0.766,-0.401,0.889
22,0.783,-0.451,0.936
24,0.776,-0.504,0.987
26,0.724,-0.566,0.995
28,0.714,-0.619,1.015
30,0.722,-0.673,1.045
32,0.723,-0.733,1.073
34,0.721,-0.797,1.065
36,0.713,-0.857,1.109
38,0.706,-0.916,1.129
40,0.699,-0.964,1.142
