W1,W2,W3,LC1,LC2,LC3
0.75,0,0,-0.288,0.158,-0.117
1.75,0,0,-0.577,0.159,-0.201
2.75,0,0,-0.878,0.158,-0.293
3.75,0,0,-1.158,0.159,-0.375
0,0.75,0,-0.064,-0.011,-0.036
0,1.75,0,-0.081,-0.181,-0.023
0,2.75,0,-0.088,-0.429,-0.002
0,3.75,0,-0.098,-0.697,0.015
0,0,0.75,-0.135,0.139,-0.277
0,0,1.75,-0.223,0.149,-0.565
0,0,2.75,-0.315,0.149,-0.861
0,0,3.75,-0.402,0.142,-1.148
