AoA:,LC1:,LC2:,LC3:,Calib
0,-0.174,-0.144,-0.047,3
2,-0.111,-0.201,0.019
4,-0.026,-0.222,0.11
6,0.069,-0.248,0.216
8,0.159,-0.271,0.315
10,0.245,-0.289,0.41
12,0.325,-0.345,0.497
14,0.389,-0.412,0.575
16,0.395,-0.508,0.666
18,0.401,-0.572,0.732
20,0.373,-0.655,0.746
22,0.361,-0.732,0.785
24,0.377,-0.819,0.723
26,0.314,-0.883,0.748
28,0.305,-0.976,0.789
30,0.243,-1.091,0.792
32,0.252,-1.163,0.817
34,0.239,-1.258,0.861
36,0.247,-1.356,0.901
38,0.235,-1.512,0.953
40,0.213,-1.651,0.965
