W1,W2,W3,LC1,LC2,LC3
0.75,0,0,-0.313,0.204,-0.189
1.75,0,0,-0.604,0.205,-0.275
2.75,0,0,-0.89,0.207,-0.361
3.75,0,0,-1.176,0.207,-0.445
0,0.75,0,-0.077,0.044,-0.125
0,1.75,0,-0.076,-0.205,-0.138
0,2.75,0,-0.083,-0.437,-0.142
0,3.75,0,-0.08,-0.677,-0.156
0,0,0.75,-0.139,0.129,-0.325
0,0,1.75,-0.225,0.125,-0.614
0,0,2.75,-0.312,0.121,-0.902
0,0,3.75,-0.401,0.117,-1.191
