AoA:,LC1:,LC2:,LC3:,Calib
0,-0.137,-0.144,-0.072,22
2,-0.122,-0.081,-0.054
4,-0.046,-0.075,0.015
6,0.043,-0.067,0.106
8,0.143,-0.059,0.212
10,0.238,-0.059,0.315
12,0.332,-0.066,0.414
14,0.417,-0.074,0.508
16,0.484,-0.099,0.578
18,0.485,-0.186,0.655
20,0.482,-0.234,0.707
22,0.465,-0.278,0.738
24,0.465,-0.313,0.761
26,0.465,-0.367,0.789
28,0.425,-0.382,0.741
30,0.416,-0.436,0.756
32,0.386,-0.478,0.764
34,0.376,-0.524,0.802
36,0.395,-0.576,0.841
38,0.386,-0.642,0.881
40,0.382,-0.715,0.915
