W1,W2,W3,LC1,LC2,LC3
0.75,0,0,-0.245,-0.015,-0.085
1.75,0,0,-0.532,-0.014,-0.172
2.75,0,0,-0.823,-0.013,-0.261
3.75,0,0,-1.118,-0.012,-0.35
0,0.75,0,-0.025,-0.2,-0.005
0,1.75,0,-0.035,-0.467,0.011
0,2.75,0,-0.045,-0.734,0.028
0,3.75,0,-0.054,-1.006,0.044
0,0,0.75,-0.091,-0.023,-0.253
0,0,1.75,-0.179,-0.029,-0.538
0,0,2.75,-0.269,-0.036,-0.831
0,0,3.75,-0.358,-0.042,-1.124
