W1,W2,W3,LC1,LC2,LC3
0.75,0,0,-0.235,-0.099,-0.098
1.75,0,0,-0.519,-0.092,-0.189
2.75,0,0,-0.818,-0.091,-0.281
3.75,0,0,-1.108,-0.085,-0.373
0,0.75,0,-0.017,-0.245,-0.019
0,1.75,0,-0.027,-0.505,-0.007
0,2.75,0,-0.036,-0.785,0.017
0,3.75,0,-0.047,-1.057,0.034
0,0,0.75,-0.083,-0.066,-0.255
0,0,1.75,-0.165,-0.065,-0.553
0,0,2.75,-0.357,-0.077,-0.842
0,0,3.75,-0.341,-0.076,-1.147
