W1,W2,W3,LC1,LC2,LC3
0.75,0,0,-0.235,0.052,-0.132
1.75,0,0,-0.527,0.049,-0.22
2.75,0,0,-0.825,0.048,-0.311
3.75,0,0,-1.117,0.046,-0.4
0,0.75,0,-0.007,-0.111,-0.074
0,1.75,0,-0.009,-0.368,-0.084
0,2.75,0,-0.006,-0.642,-0.096
0,3.75,0,-0.002,-0.919,-0.108
0,0,0.75,-0.075,0.061,-0.318
0,0,1.75,-0.149,0.061,-0.626
0,0,2.75,-0.227,0.059,-0.934
0,0,3.75,-0.305,0.057,-1.238
