LabVIEW Measurement	
Writer_Version	0.92
Reader_Version	1
Separator	Tab
Multi_Headings	Yes
X_Columns	Multi
Time_Pref	Relative
Operator	don geister
Date	1903/12/31
Time	19:00:00
***End_of_Header***	
	
Channels	1	
Samples	16	
Date	2018/01/28	
Time	17:19:05.796	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	1.000000	
***End_of_Header***		
X_Value		Comment
0.000000	-0.226251
1.000000	-0.995081
2.000000	-0.834408
3.000000	-0.806795
4.000000	-0.695264
5.000000	-0.689831
6.000000	-0.478626
7.000000	-0.434246
8.000000	-0.437672
9.000000	-0.442595
10.000000	-0.439370
11.000000	-0.391043
12.000000	-0.345954
13.000000	-0.292620
14.000000	-0.457307
15.000000	-0.468540

