LabVIEW Measurement	
Writer_Version	0.92
Reader_Version	1
Separator	Tab
Multi_Headings	Yes
X_Columns	Multi
Time_Pref	Relative
Operator	don geister
Date	1903/12/31
Time	19:00:00
***End_of_Header***	
	
Channels	1	
Samples	16	
Date	2018/01/28	
Time	17:22:19.311999	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	1.000000	
***End_of_Header***		
X_Value		Comment
0.000000	-0.219787
1.000000	-0.770973
2.000000	-0.708846
3.000000	-0.760991
4.000000	-0.744025
5.000000	-0.769046
6.000000	-0.617828
7.000000	-0.584316
8.000000	-0.591652
9.000000	-0.554546
10.000000	-0.540699
11.000000	-0.395359
12.000000	-0.379165
13.000000	-0.192142
14.000000	-0.557370
15.000000	-0.413469

