W1,W2,W3,LC1,LC2,LC3
0.75,0,0,-0.338,-0.146,-0.178
1.75,0,0,-0.619,-0.147,-0.259
2.75,0,0,-0.902,-0.148,-0.341
3.75,0,0,-1.193,-0.151,-0.424
0,0.75,0,-0.133,-0.304,-0.112
0,1.75,0,-0.126,-0.557,-0.082
0,2.75,0,-0.121,-0.809,-0.053
0,3.75,0,-0.109,-1.077,-0.021
0,0,0.75,-0.143,-0.207,-0.3
0,0,1.75,-0.223,-0.212,-0.577
0,0,2.75,-0.305,-0.223,-0.863
0,0,3.75,-0.394,-0.223,-1.154
