W1,W2,W3,LC1,LC2,LC3
0.75,0,0,-0.287,0.104,-0.121
1.75,0,0,-0.573,0.109,-0.204
2.75,0,0,-0.864,0.111,-0.292
3.75,0,0,-1.157,0.113,-0.381
0,0.75,0,-0.061,-0.086,-0.044
0,1.75,0,-0.077,-0.308,-0.028
0,2.75,0,-0.085,-0.551,-0.012
0,3.75,0,-0.095,-0.818,0.006
0,0,0.75,-0.126,0.088,-0.285
0,0,1.75,-0.214,0.086,-0.576
0,0,2.75,-0.303,0.081,-0.866
0,0,3.75,-0.393,0.075,-1.156
