W1,W2,W3,LC1,LC2,LC3
0.75,0,0,-0.27,0.172,-0.12
1.75,0,0,-0.561,0.172,-0.209
2.75,0,0,-0.846,0.176,-0.294
3.75,0,0,-1.136,0.176,-0.381
0,0.75,0,-0.031,0.015,-0.057
0,1.75,0,-0.05,-0.198,-0.083
0,2.75,0,-0.05,-0.454,-0.095
0,3.75,0,-0.053,-0.714,-0.109
0,0,0.75,-0.099,0.123,-0.268
0,0,1.75,-0.185,0.117,-0.559
0,0,2.75,-0.272,0.112,-0.847
0,0,3.75,-0.363,0.104,-1.137
