W1,W2,W3,LC1,LC2,LC3
0.75,0,0,-0.104,-0.085,-0.139
1.75,0,0,-0.4,-0.083,-0.229
2.75,0,0,-0.689,-0.082,-0.317
3.75,0,0,-0.98,-0.08,-0.407
0,0.75,0,0.118,-0.287,-0.049
0,1.75,0,0.104,-0.558,-0.026
0,2.75,0,0.092,-0.837,-0.002
0,3.75,0,0.08,-1.11,0.022
0,0,0.75,0.052,-0.086,-0.307
0,0,1.75,-0.035,-0.093,-0.603
0,0,2.75,-0.123,-0.1,-0.896
0,0,3.75,-0.212,-0.108,-1.19
