W1,W2,W3,LC1,LC2,LC3
0.75,0,0,-0.289,-0.173,-0.136
1.75,0,0,-0.57,-0.173,-0.217
2.75,0,0,-0.853,-0.177,-0.298
3.75,0,0,-1.146,-0.17,-0.387
0,0.75,0,-0.081,-0.321,-0.076
0,1.75,0,-0.087,-0.557,-0.078
0,2.75,0,-0.082,-0.803,-0.087
0,3.75,0,-0.068,-1.111,-0.072
0,0,0.75,-0.133,-0.225,-0.292
0,0,1.75,-0.212,-0.232,-0.567
0,0,2.75,-0.301,-0.23,-0.855
0,0,3.75,-0.39,-0.231,-1.145
