AoA:,LC1:,LC2:,LC3:,Calib
0,0.326,-0.06,0.865,37
2,0.438,-0.041,0.983
4,0.531,-0.036,1.086
6,0.619,-0.054,1.183
8,0.698,-0.074,1.265
10,0.765,-0.135,1.367
12,0.719,-0.244,1.418
14,0.642,-0.312,1.375
16,0.607,-0.373,1.395
