LabVIEW Measurement	
Writer_Version	0.92
Reader_Version	1
Separator	Tab
Multi_Headings	Yes
X_Columns	Multi
Time_Pref	Relative
Operator	don geister
Date	1903/12/31
Time	19:00:00
***End_of_Header***	
	
Channels	1	
Samples	16	
Date	2018/01/28	
Time	14:55:59.264999	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	1.000000	
***End_of_Header***		
X_Value		Comment
0.000000	-0.175387
1.000000	-0.235590
2.000000	-0.118432
3.000000	-0.197671
4.000000	-0.156411
5.000000	-0.239283
6.000000	-0.076271
7.000000	-0.096583
8.000000	-0.069455
9.000000	-0.116320
10.000000	-0.102155
11.000000	-0.121709
12.000000	-0.105200
13.000000	-0.138415
14.000000	-0.113260
15.000000	-0.156464

