LabVIEW Measurement	
Writer_Version	0.92
Reader_Version	1
Separator	Tab
Multi_Headings	Yes
X_Columns	Multi
Time_Pref	Relative
Operator	don geister
Date	1903/12/31
Time	19:00:00
***End_of_Header***	
	
Channels	1	
Samples	16	
Date	2018/01/28	
Time	15:51:17.686999	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	1.000000	
***End_of_Header***		
X_Value		Comment
0.000000	-0.223019
1.000000	-0.864830
2.000000	-0.772072
3.000000	-0.770634
4.000000	-0.679291
5.000000	-0.644447
6.000000	-0.490043
7.000000	-0.485334
8.000000	-0.473633
9.000000	-0.499004
10.000000	-0.466778
11.000000	-0.451469
12.000000	-0.429104
13.000000	-0.416895
14.000000	-0.490793
15.000000	-0.453680

