LabVIEW Measurement	
Writer_Version	0.92
Reader_Version	1
Separator	Tab
Multi_Headings	Yes
X_Columns	Multi
Time_Pref	Relative
Operator	don geister
Date	1903/12/31
Time	19:00:00
***End_of_Header***	
	
Channels	1	
Samples	16	
Date	2018/01/28	
Time	15:06:04.186999	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	1.000000	
***End_of_Header***		
X_Value		Comment
0.000000	-0.174579
1.000000	-0.355300
2.000000	-0.176312
3.000000	-0.223384
4.000000	-0.169025
5.000000	-0.247535
6.000000	-0.076271
7.000000	-0.097381
8.000000	-0.066108
9.000000	-0.119793
10.000000	-0.104646
11.000000	-0.113077
12.000000	-0.099663
13.000000	-0.120782
14.000000	-0.112382
15.000000	-0.152967

