LabVIEW Measurement	
Writer_Version	0.92
Reader_Version	1
Separator	Tab
Multi_Headings	Yes
X_Columns	Multi
Time_Pref	Relative
Operator	don geister
Date	1903/12/31
Time	19:00:00
***End_of_Header***	
	
Channels	1	
Samples	16	
Date	2018/01/28	
Time	14:53:32.264999	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	1.000000	
***End_of_Header***		
X_Value		Comment
0.000000	-0.175387
1.000000	-0.193452
2.000000	-0.119322
3.000000	-0.200885
4.000000	-0.163979
5.000000	-0.250010
6.000000	-0.083898
7.000000	-0.102170
8.000000	-0.069455
9.000000	-0.123265
10.000000	-0.105477
11.000000	-0.124299
12.000000	-0.109814
13.000000	-0.152521
14.000000	-0.116772
15.000000	-0.160834

