LabVIEW Measurement	
Writer_Version	0.92
Reader_Version	1
Separator	Tab
Multi_Headings	Yes
X_Columns	Multi
Time_Pref	Relative
Operator	don geister
Date	1903/12/31
Time	19:00:00
***End_of_Header***	
	
Channels	1	
Samples	16	
Date	2018/01/28	
Time	15:05:49	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	1.000000	
***End_of_Header***		
X_Value		Comment
0.000000	-0.173771
1.000000	-0.318908
2.000000	-0.175422
3.000000	-0.227402
4.000000	-0.158934
5.000000	-0.243409
6.000000	-0.076271
7.000000	-0.098179
8.000000	-0.067781
9.000000	-0.124133
10.000000	-0.104646
11.000000	-0.112214
12.000000	-0.097817
13.000000	-0.118137
14.000000	-0.110626
15.000000	-0.152967

