LabVIEW Measurement	
Writer_Version	0.92
Reader_Version	1
Separator	Tab
Multi_Headings	Yes
X_Columns	Multi
Time_Pref	Relative
Operator	don geister
Date	1903/12/31
Time	19:00:00
***End_of_Header***	
	
Channels	1	
Samples	16	
Date	2018/01/28	
Time	15:07:16.578	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	1.000000	
***End_of_Header***		
X_Value		Comment
0.000000	-0.173771
1.000000	-0.339019
2.000000	-0.188779
3.000000	-0.220974
4.000000	-0.167343
5.000000	-0.250010
6.000000	-0.080085
7.000000	-0.095785
8.000000	-0.066945
9.000000	-0.124133
10.000000	-0.105477
11.000000	-0.109625
12.000000	-0.096895
13.000000	-0.126072
14.000000	-0.105358
15.000000	-0.152093

