LabVIEW Measurement	
Writer_Version	0.92
Reader_Version	1
Separator	Tab
Multi_Headings	Yes
X_Columns	Multi
Time_Pref	Relative
Operator	don geister
Date	1903/12/31
Time	19:00:00
***End_of_Header***	
	
Channels	1	
Samples	16	
Date	2018/01/28	
Time	15:56:51.921	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	1.000000	
***End_of_Header***		
X_Value		Comment
0.000000	-0.221403
1.000000	-0.699143
2.000000	-0.664320
3.000000	-0.710365
4.000000	-0.702831
5.000000	-0.723662
6.000000	-0.588271
7.000000	-0.548395
8.000000	-0.569057
9.000000	-0.550206
10.000000	-0.514951
11.000000	-0.464417
12.000000	-0.440053
13.000000	-0.406318
14.000000	-0.535427
15.000000	-0.434449

