LabVIEW Measurement	
Writer_Version	0.92
Reader_Version	1
Separator	Tab
Multi_Headings	Yes
X_Columns	Multi
Time_Pref	Relative
Operator	don geister
Date	1903/12/31
Time	19:00:00
***End_of_Header***	
	
Channels	1	
Samples	16	
Date	2018/01/28	
Time	15:01:48.139999	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	1.000000	
***End_of_Header***		
X_Value		Comment
0.000000	-0.173771
1.000000	-0.283474
2.000000	-0.152270
3.000000	-0.189636
4.000000	-0.153888
5.000000	-0.231857
6.000000	-0.067691
7.000000	-0.092592
8.000000	-0.064434
9.000000	-0.119793
10.000000	-0.102985
11.000000	-0.115667
12.000000	-0.099663
13.000000	-0.126072
14.000000	-0.097456
15.000000	-0.153841

