Height,Tunnel,Motor,AoA,LC1,LC2,LC3,Manometer
Zero,300 RPM,Off,0,0.12,-0.234,-0.085,0.33
,,,2,0.087,-0.209,-0.02,
,,,4,0.153,-0.192,0.045,
,,,6,0.23,-0.186,0.129,
,,,8,0.303,-0.197,0.211,
,,,10,0.398,-0.202,0.317,
,,,12,0.479,-0.205,0.412,
,,,14,0.515,-0.239,0.472,
,,,16,0.472,-0.323,0.543,
,,,18,0.487,-0.367,0.564,
,,,20,0.456,-0.415,0.581,
