LabVIEW Measurement	
Writer_Version	0.92
Reader_Version	1
Separator	Tab
Multi_Headings	Yes
X_Columns	Multi
Time_Pref	Relative
Operator	don geister
Date	1903/12/31
Time	19:00:00
***End_of_Header***	
	
Channels	1	
Samples	16	
Date	2018/01/28	
Time	16:08:28.389999	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	1.000000	
***End_of_Header***		
X_Value		Comment
0.000000	-0.229484
1.000000	-0.918463
2.000000	-0.737342
3.000000	-0.805188
4.000000	-0.703671
5.000000	-0.785549
6.000000	-0.492927
7.000000	-0.447018
8.000000	-0.402524
9.000000	-0.453009
10.000000	-0.423589
11.000000	-0.463554
12.000000	-0.440053
13.000000	-0.473304
14.000000	-0.447652
15.000000	-0.490394

Channels	1	
Samples	16	
Date	2018/01/28	
Time	16:08:45.186999	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	1.000000	
***End_of_Header***		
X_Value		Comment
0.000000	-0.230292
1.000000	-0.973054
2.000000	-0.782758
3.000000	-0.820456
4.000000	-0.711238
5.000000	-0.776472
6.000000	-0.504369
7.000000	-0.461386
8.000000	-0.411730
9.000000	-0.466027
10.000000	-0.438539
11.000000	-0.461828
12.000000	-0.438208
13.000000	-0.438930
14.000000	-0.462573
15.000000	-0.486897

Channels	1	
Samples	16	
Date	2018/01/28	
Time	16:09:16.764999	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	1.000000	
***End_of_Header***		
X_Value		Comment
0.000000	-0.228676
1.000000	-0.908886
2.000000	-0.748028
3.000000	-0.793134
4.000000	-0.701149
5.000000	-0.782248
6.000000	-0.491021
7.000000	-0.446220
8.000000	-0.402524
9.000000	-0.455613
10.000000	-0.425250
11.000000	-0.463554
12.000000	-0.446511
13.000000	-0.468897
14.000000	-0.443263
15.000000	-0.490394

