LabVIEW Measurement	
Writer_Version	0.92
Reader_Version	1
Separator	Tab
Multi_Headings	Yes
X_Columns	Multi
Time_Pref	Relative
Operator	don geister
Date	1903/12/31
Time	19:00:00
***End_of_Header***	
	
Channels	1	
Samples	16	
Date	2018/01/28	
Time	16:10:01.311999	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	1.000000	
***End_of_Header***		
X_Value		Comment
0.000000	-0.227868
1.000000	-1.145445
2.000000	-0.878043
3.000000	-0.845367
4.000000	-0.740662
5.000000	-0.788024
6.000000	-0.524391
7.000000	-0.496509
8.000000	-0.450225
9.000000	-0.497269
10.000000	-0.483390
11.000000	-0.452332
12.000000	-0.431750
13.000000	-0.405437
14.000000	-0.503828
15.000000	-0.476407

