LabVIEW Measurement	
Writer_Version	0.92
Reader_Version	1
Separator	Tab
Multi_Headings	Yes
X_Columns	Multi
Time_Pref	Relative
Operator	don geister
Date	1903/12/31
Time	19:00:00
***End_of_Header***	
	
Channels	1	
Samples	16	
Date	2018/01/28	
Time	15:46:10.467999	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	1.000000	
***End_of_Header***		
X_Value		Comment
0.000000	-0.224635
1.000000	-0.681904
2.000000	-0.596642
3.000000	-0.619561
4.000000	-0.591167
5.000000	-0.594938
6.000000	-0.451907
7.000000	-0.435843
8.000000	-0.430956
9.000000	-0.448670
10.000000	-0.418584
11.000000	-0.464417
12.000000	-0.456789
13.000000	-0.489169
14.000000	-0.438114
15.000000	-0.464169

