LabVIEW Measurement	
Writer_Version	0.92
Reader_Version	1
Separator	Tab
Multi_Headings	Yes
X_Columns	Multi
Time_Pref	Relative
Operator	don geister
Date	1903/12/31
Time	19:00:00
***End_of_Header***	
	
Channels	1	
Samples	16	
Date	2018/01/28	
Time	16:12:16.842999	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	1.000000	
***End_of_Header***		
X_Value		Comment
0.000000	-0.222211
1.000000	-0.821732
2.000000	-0.787211
3.000000	-0.829295
4.000000	-0.811282
5.000000	-0.828457
6.000000	-0.639757
7.000000	-0.577930
8.000000	-0.586631
9.000000	-0.576242
10.000000	-0.548174
11.000000	-0.444563
12.000000	-0.437286
13.000000	-0.371063
14.000000	-0.571414
15.000000	-0.437071

