Height,Tunnel,Motor,AoA,LC1,LC2,LC3,Manometer
Zero,300 RPM,2300 RPM,0,0.018,-0.022,-0.07,0.33
,,,2,0.109,-0.033,0.009,
,,,4,0.208,0.0006,0.106,
,,,6,0.334,0.021,0.237,
,,,8,0.456,0.016,0.363,
,,,10,0.567,-0.007,0.491,
,,,12,0.679,-0.038,0.611,
,,,14,0.768,-0.078,0.709,
,,,16,0.805,-0.122,0.779,
,,,18,0.806,-0.194,0.852,
,,,20,0.826,-0.264,0.937,
,,,22,0.864,-0.326,0.989,
,,,24,0.824,-0.387,1.02,
,,,26,0.806,-0.443,1.02,
,,,28,0.805,-0.497,1.04,
,,,30,0.797,-0.546,1.05,
