LabVIEW Measurement	
Writer_Version	0.92
Reader_Version	1
Separator	Tab
Multi_Headings	Yes
X_Columns	Multi
Time_Pref	Relative
Operator	don geister
Date	1903/12/31
Time	19:00:00
***End_of_Header***	
	
Channels	1	
Samples	16	
Date	2018/01/28	
Time	16:11:11.703	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	1.000000	
***End_of_Header***		
X_Value		Comment
0.000000	-0.226251
1.000000	-0.991250
2.000000	-0.883386
3.000000	-0.874296
4.000000	-0.814644
5.000000	-0.808653
6.000000	-0.606387
7.000000	-0.569948
8.000000	-0.566547
9.000000	-0.562356
10.000000	-0.543190
11.000000	-0.461828
12.000000	-0.447434
13.000000	-0.381640
14.000000	-0.564392
15.000000	-0.453680

