LabVIEW Measurement	
Writer_Version	0.92
Reader_Version	1
Separator	Tab
Multi_Headings	Yes
X_Columns	Multi
Time_Pref	Relative
Operator	don geister
Date	1903/12/31
Time	19:00:00
***End_of_Header***	
	
Channels	1	
Samples	16	
Date	2018/01/28	
Time	16:13:43.328	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	1.000000	
***End_of_Header***		
X_Value		Comment
0.000000	-0.219787
1.000000	-0.777677
2.000000	-0.746247
3.000000	-0.802777
4.000000	-0.775972
5.000000	-0.801227
6.000000	-0.640710
7.000000	-0.588308
8.000000	-0.628474
9.000000	-0.571034
10.000000	-0.551496
11.000000	-0.435067
12.000000	-0.428060
13.000000	-0.331401
14.000000	-0.580192
15.000000	-0.415218

