LabVIEW Measurement	
Writer_Version	0.92
Reader_Version	1
Separator	Tab
Multi_Headings	Yes
X_Columns	Multi
Time_Pref	Relative
Operator	don geister
Date	1903/12/31
Time	19:00:00
***End_of_Header***	
	
Channels	1	
Samples	16	
Date	2018/01/28	
Time	15:45:12.203	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	1.000000	
***End_of_Header***		
X_Value		Comment
0.000000	-0.224635
1.000000	-0.641679
2.000000	-0.539649
3.000000	-0.590632
4.000000	-0.575884
5.000000	-0.590812
6.000000	-0.453814
7.000000	-0.435843
8.000000	-0.427608
9.000000	-0.446934
10.000000	-0.416923
11.000000	-0.465280
12.000000	-0.460480
13.000000	-0.517373
14.000000	-0.437236
15.000000	-0.464169

