LabVIEW Measurement	
Writer_Version	0.92
Reader_Version	1
Separator	Tab
Multi_Headings	Yes
X_Columns	Multi
Time_Pref	Relative
Operator	don geister
Date	1903/12/31
Time	19:00:00
***End_of_Header***	
	
Channels	1	
Samples	16	
Date	2018/01/28	
Time	16:13:17.578	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	1.000000	
***End_of_Header***		
X_Value		Comment
0.000000	-0.222211
1.000000	-0.769057
2.000000	-0.757824
3.000000	-0.793938
4.000000	-0.794468
5.000000	-0.817730
6.000000	-0.653105
7.000000	-0.581922
8.000000	-0.618431
9.000000	-0.586655
10.000000	-0.578074
11.000000	-0.436794
12.000000	-0.443743
13.000000	-0.351673
14.000000	-0.580192
15.000000	-0.424833

