LabVIEW Measurement	
Writer_Version	0.92
Reader_Version	1
Separator	Tab
Multi_Headings	Yes
X_Columns	Multi
Time_Pref	Relative
Operator	don geister
Date	1903/12/31
Time	19:00:00
***End_of_Header***	
	
Channels	1	
Samples	16	
Date	2018/01/28	
Time	17:19:23.5	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	1.000000	
***End_of_Header***		
X_Value		Comment
0.000000	-0.226251
1.000000	-1.001786
2.000000	-0.838860
3.000000	-0.791527
4.000000	-0.700308
5.000000	-0.698082
6.000000	-0.508183
7.000000	-0.460588
8.000000	-0.466125
9.000000	-0.464291
10.000000	-0.458473
11.000000	-0.381547
12.000000	-0.348721
13.000000	-0.252076
14.000000	-0.472229
15.000000	-0.465044

