LabVIEW Measurement	
Writer_Version	0.92
Reader_Version	1
Separator	Tab
Multi_Headings	Yes
X_Columns	Multi
Time_Pref	Relative
Operator	don geister
Date	1903/12/31
Time	19:00:00
***End_of_Header***	
	
Channels	1	
Samples	16	
Date	2018/01/28	
Time	17:16:34.125	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	1.000000	
***End_of_Header***		
X_Value		Comment
0.000000	-0.229484
1.000000	-0.647425
2.000000	-0.658087
3.000000	-0.731258
4.000000	-0.627167
5.000000	-0.706334
6.000000	-0.446209
7.000000	-0.390343
8.000000	-0.368214
9.000000	-0.396600
10.000000	-0.379569
11.000000	-0.405718
12.000000	-0.421602
13.000000	-0.620495
14.000000	-0.398498
15.000000	-0.483401

