LabVIEW Measurement	
Writer_Version	0.92
Reader_Version	1
Separator	Tab
Multi_Headings	Yes
X_Columns	Multi
Time_Pref	Relative
Operator	don geister
Date	1903/12/31
Time	19:00:00
***End_of_Header***	
	
Channels	1	
Samples	16	
Date	2018/01/28	
Time	17:22:43.578	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	1.000000	
***End_of_Header***		
X_Value		Comment
0.000000	-0.218979
1.000000	-0.767142
2.000000	-0.725766
3.000000	-0.773044
4.000000	-0.749910
5.000000	-0.787199
6.000000	-0.611154
7.000000	-0.557974
8.000000	-0.589142
9.000000	-0.549339
10.000000	-0.520765
11.000000	-0.372915
12.000000	-0.357024
13.000000	-0.172751
14.000000	-0.547715
15.000000	-0.404728

